Episode: 94, Total Reward: -0.9729000006846036, Total Length: 272.0 
Episode: 95, Total Reward: -0.9660000008589122, Total Length: 341.0 
Episode: 96, Total Reward: -0.9965000000884174, Total Length: 36.0 
Episode: 97, Total Reward: -0.9884000002930406, Total Length: 117.0 
Episode: 98, Total Reward: -0.9811000004774542, Total Length: 190.0 
Episode: 99, Total Reward: -0.9775000005683978, Total Length: 226.0 
Episode: 100, Total Reward: -0.9722000007022871, Total Length: 279.0 
Episode: 101, Total Reward: -0.9820000004547182, Total Length: 181.0 
Episode: 102, Total Reward: -0.9609000009877491, Total Length: 392.0 
Episode: 103, Total Reward: -0.9730000006820774, Total Length: 271.0 
Episode: 104, Total Reward: -0.9900000002526212, Total Length: 101.0 
Episode: 105, Total Reward: -0.930800001748139, Total Length: 693.0 
Episode: 106, Total Reward: -0.9935000001642038, Total Length: 66.0 
Episode: 107, Total Reward: -0.9954000001162058, Total Length: 47.0 
Episode: 108, Total Reward: -0.9700000007578637, Total Length: 301.0 
Episode: 109, Total Reward: -0.9399000015182537, Total Length: 602.0 
Episode: 110, Total Reward: -0.9775000005683978, Total Length: 226.0 
Episode: 111, Total Reward: -0.9700000007578637, Total Length: 301.0 
Episode: 112, Total Reward: -0.985900000356196, Total Length: 142.0 
Episode: 113, Total Reward: -0.9875000003157766, Total Length: 126.0 
Episode: 114, Total Reward: -0.9820000004547182, Total Length: 181.0 
Episode: 115, Total Reward: -0.9847000003865105, Total Length: 154.0 
Episode: 116, Total Reward: -0.9837000004117726, Total Length: 164.0 
Episode: 117, Total Reward: -0.9731000006795512, Total Length: 270.0 
Episode: 118, Total Reward: -0.985900000356196, Total Length: 142.0 
Episode: 119, Total Reward: -0.981200000474928, Total Length: 189.0 
Episode: 120, Total Reward: -0.9851000003764057, Total Length: 150.0 
Episode: 121, Total Reward: -0.9832000004244037, Total Length: 169.0 
Episode: 122, Total Reward: -0.9748000006366055, Total Length: 253.0 
Episode: 123, Total Reward: -0.9800000005052425, Total Length: 201.0 
Episode: 124, Total Reward: -0.9896000002627261, Total Length: 105.0 
Episode: 125, Total Reward: -0.9863000003460911, Total Length: 138.0 
Episode: 126, Total Reward: -0.9951000001237844, Total Length: 50.0 
Episode: 127, Total Reward: -0.9784000005456619, Total Length: 217.0 
Episode: 128, Total Reward: -0.9464000013540499, Total Length: 537.0 
Episode: 129, Total Reward: -0.9835000004168251, Total Length: 166.0 
Episode: 130, Total Reward: -0.9376000015763566, Total Length: 625.0 
Episode: 131, Total Reward: -0.9256000018795021, Total Length: 745.0 
Episode: 132, Total Reward: -0.9189000020487583, Total Length: 812.0 
Episode: 133, Total Reward: -0.9845000003915629, Total Length: 156.0 
Episode: 134, Total Reward: -0.9637000009170151, Total Length: 364.0 
Episode: 135, Total Reward: -0.9919000002046232, Total Length: 82.0 
Episode: 136, Total Reward: -0.9815000004673493, Total Length: 186.0 
Episode: 137, Total Reward: -0.9764000005961861, Total Length: 237.0 
Episode: 138, Total Reward: -0.9858000003587222, Total Length: 143.0 
Episode: 139, Total Reward: -0.9838000004092464, Total Length: 163.0 
Episode: 140, Total Reward: -0.9861000003511435, Total Length: 140.0 
Episode: 141, Total Reward: -0.9773000005734502, Total Length: 228.0 
Episode: 142, Total Reward: -0.9336000016774051, Total Length: 665.0 
Episode: 143, Total Reward: -0.9646000008942792, Total Length: 355.0 
Episode: 144, Total Reward: -0.9888000002829358, Total Length: 113.0 
Episode: 145, Total Reward: -0.9845000003915629, Total Length: 156.0 
Episode: 146, Total Reward: -0.974600000641658, Total Length: 255.0 
Episode: 147, Total Reward: -0.9851000003764057, Total Length: 150.0 
Episode: 148, Total Reward: -0.9904000002425164, Total Length: 97.0 
Episode: 149, Total Reward: -0.9852000003738794, Total Length: 149.0 
Episode: 150, Total Reward: -0.9938000001566252, Total Length: 63.0 
Episode: 151, Total Reward: -0.9449000013919431, Total Length: 552.0 
Episode: 152, Total Reward: -0.9783000005481881, Total Length: 218.0 
Episode: 153, Total Reward: -0.9667000008412288, Total Length: 334.0 
Episode: 154, Total Reward: -0.95670000109385, Total Length: 434.0 
Episode: 155, Total Reward: -0.9655000008715433, Total Length: 346.0 
Episode: 156, Total Reward: -0.9850000003789319, Total Length: 151.0 
Episode: 157, Total Reward: -0.9947000001338893, Total Length: 54.0 
Episode: 158, Total Reward: -0.9811000004774542, Total Length: 190.0 
Episode: 159, Total Reward: -0.9683000008008094, Total Length: 318.0 
Episode: 160, Total Reward: -0.9687000007907045, Total Length: 314.0 
Episode: 161, Total Reward: -0.9804000004951376, Total Length: 197.0 
Episode: 162, Total Reward: -0.9782000005507143, Total Length: 219.0 
Episode: 163, Total Reward: -0.9786000005406095, Total Length: 215.0 
Episode: 164, Total Reward: -0.9796000005153473, Total Length: 205.0 
Episode: 165, Total Reward: -0.9960000001010485, Total Length: 41.0 
Episode: 166, Total Reward: -0.9856000003637746, Total Length: 145.0 
Episode: 167, Total Reward: -0.9696000007679686, Total Length: 305.0 
Episode: 168, Total Reward: -0.9842000003991416, Total Length: 159.0 
Episode: 169, Total Reward: -0.955300001129217, Total Length: 448.0 
Episode: 170, Total Reward: -0.9931000001743087, Total Length: 70.0 
Episode: 171, Total Reward: -0.9603000010029064, Total Length: 398.0 
Episode: 172, Total Reward: -0.9798000005102949, Total Length: 203.0 
Episode: 173, Total Reward: -0.9823000004471396, Total Length: 178.0 
Episode: 174, Total Reward: -0.990600000237464, Total Length: 95.0 
Episode: 175, Total Reward: -0.9960000001010485, Total Length: 41.0 
Episode: 176, Total Reward: -0.9810000004799804, Total Length: 191.0 
Episode: 177, Total Reward: -0.9937000001591514, Total Length: 64.0 
Episode: 178, Total Reward: -0.9886000002879882, Total Length: 115.0 
Episode: 179, Total Reward: -0.9898000002576737, Total Length: 103.0 
Episode: 180, Total Reward: -0.9518000012176344, Total Length: 483.0 
Episode: 181, Total Reward: -0.9921000001995708, Total Length: 80.0 
Episode: 182, Total Reward: -0.9900000002526212, Total Length: 101.0 
Episode: 183, Total Reward: -0.9608000009902753, Total Length: 393.0 
Episode: 184, Total Reward: -0.9716000007174443, Total Length: 285.0 
Episode: 185, Total Reward: -0.9876000003132503, Total Length: 125.0 
Episode: 186, Total Reward: -0.9645000008968054, Total Length: 356.0 
Episode: 187, Total Reward: -0.953400001177215, Total Length: 467.0 
Episode: 188, Total Reward: -0.9808000004850328, Total Length: 193.0 
Episode: 189, Total Reward: -0.980700000487559, Total Length: 194.0 
Episode: 190, Total Reward: -0.9902000002475688, Total Length: 99.0 
Episode: 191, Total Reward: -0.9866000003385125, Total Length: 135.0 
Episode: 192, Total Reward: -0.9649000008867006, Total Length: 352.0 
Episode: 193, Total Reward: -0.9898000002576737, Total Length: 103.0 
Episode: 194, Total Reward: -0.9720000007073395, Total Length: 281.0 
Episode: 195, Total Reward: -0.9877000003107241, Total Length: 124.0 
Episode: 196, Total Reward: -0.990100000250095, Total Length: 100.0 
Episode: 197, Total Reward: -0.9885000002905144, Total Length: 116.0 
Episode: 198, Total Reward: -0.985400000368827, Total Length: 147.0 
Episode: 199, Total Reward: -0.9947000001338893, Total Length: 54.0 
Final Episode Success Rate: 0.000
