Episode: 0, Total Reward: -55858.87356185913, Total Length: 22.0 
Episode: 1, Total Reward: -56016.43629837036, Total Length: 29.0 
Episode: 2, Total Reward: -52543.00467681885, Total Length: 17.0 
Episode: 3, Total Reward: -54624.76119995117, Total Length: 9.0 
Episode: 4, Total Reward: -3384009.8463020325, Total Length: 462.0 
Episode: 5, Total Reward: -72609.41284179688, Total Length: 19.0 
Episode: 6, Total Reward: -62888.77537059784, Total Length: 34.0 
Episode: 7, Total Reward: -62484.28563070297, Total Length: 26.0 
Episode: 8, Total Reward: -62169.984436035156, Total Length: 12.0 
Episode: 9, Total Reward: -62139.17932128906, Total Length: 11.0 
Episode: 10, Total Reward: -64752.289112091064, Total Length: 21.0 
Episode: 11, Total Reward: -61781.174297332764, Total Length: 25.0 
Episode: 12, Total Reward: -66567.07097434998, Total Length: 38.0 
Episode: 13, Total Reward: -52876.916615486145, Total Length: 24.0 
Episode: 14, Total Reward: -392882.9557380676, Total Length: 115.0 
Episode: 15, Total Reward: -71983.82053565979, Total Length: 36.0 
Episode: 16, Total Reward: -108418.2292919159, Total Length: 58.0 
Episode: 17, Total Reward: -74526.48986816406, Total Length: 24.0 
Episode: 18, Total Reward: -60595.62191772461, Total Length: 14.0 
Episode: 19, Total Reward: -59418.54981994629, Total Length: 14.0 
Episode: 20, Total Reward: -57564.00693321228, Total Length: 32.0 
Episode: 21, Total Reward: -56833.130268096924, Total Length: 31.0 
Episode: 22, Total Reward: -1782197.9411468506, Total Length: 299.0 
Episode: 23, Total Reward: -80755.38876342773, Total Length: 36.0 
Episode: 24, Total Reward: -59979.25939941406, Total Length: 11.0 
Episode: 25, Total Reward: -66085.26858520508, Total Length: 39.0 
Episode: 26, Total Reward: -56197.84459686279, Total Length: 21.0 
Episode: 27, Total Reward: -53191.17471456528, Total Length: 22.0 
Episode: 28, Total Reward: -450362.4781227112, Total Length: 102.0 
Episode: 29, Total Reward: -71904.30529785156, Total Length: 22.0 
Episode: 30, Total Reward: -61703.8717956543, Total Length: 16.0 
Episode: 31, Total Reward: -59935.70993518829, Total Length: 36.0 
Episode: 32, Total Reward: -57323.47032546997, Total Length: 25.0 
Episode: 33, Total Reward: -55481.18419647217, Total Length: 16.0 
Episode: 34, Total Reward: -2609397.5933713913, Total Length: 443.0 
Episode: 35, Total Reward: -89864.29568958282, Total Length: 69.0 
Episode: 36, Total Reward: -60319.46162414551, Total Length: 14.0 
Episode: 37, Total Reward: -57120.226303100586, Total Length: 10.0 
Episode: 38, Total Reward: -51725.89267730713, Total Length: 26.0 
Episode: 39, Total Reward: -1012241.3201236725, Total Length: 198.0 
Episode: 40, Total Reward: -67973.15185546875, Total Length: 16.0 
Episode: 41, Total Reward: -60429.467886924744, Total Length: 33.0 
Episode: 42, Total Reward: -53014.013147354126, Total Length: 21.0 
