Episode: 0, Total Reward: -1838617.580631256, Total Length: 517.0 
Episode: 1, Total Reward: -2227275.387374878, Total Length: 501.0 
Episode: 2, Total Reward: -227455.84530639648, Total Length: 131.0 
Episode: 3, Total Reward: -2355364.143321991, Total Length: 501.0 
Episode: 4, Total Reward: -2852485.4380497932, Total Length: 501.0 
Episode: 5, Total Reward: -5303233.862947226, Total Length: 501.0 
Episode: 6, Total Reward: -4046156.223175049, Total Length: 501.0 
Episode: 7, Total Reward: -4367388.793858528, Total Length: 501.0 
Episode: 8, Total Reward: -623391.6797142029, Total Length: 198.0 
Episode: 9, Total Reward: -3909345.422477722, Total Length: 501.0 
Episode: 10, Total Reward: -1820994.6771621704, Total Length: 501.0 
Episode: 11, Total Reward: -4312385.0935668945, Total Length: 501.0 
Episode: 12, Total Reward: -2404970.273071289, Total Length: 406.0 
Episode: 13, Total Reward: -2623408.6004064083, Total Length: 501.0 
Episode: 14, Total Reward: -754286.2844848633, Total Length: 273.0 
Episode: 15, Total Reward: -3455212.3387145996, Total Length: 501.0 
Episode: 16, Total Reward: -3869616.908721924, Total Length: 293.0 
Episode: 17, Total Reward: -3030145.631471634, Total Length: 501.0 
Episode: 18, Total Reward: -5106913.257553101, Total Length: 501.0 
Episode: 19, Total Reward: -87090.07586288452, Total Length: 50.0 
Episode: 20, Total Reward: -8299572.10949707, Total Length: 433.0 
Episode: 21, Total Reward: -2982668.3774642944, Total Length: 501.0 
Episode: 22, Total Reward: -561365.7755050659, Total Length: 136.0 
Episode: 23, Total Reward: -1328612.1434230804, Total Length: 463.0 
Episode: 24, Total Reward: -2715276.5014038086, Total Length: 501.0 
Episode: 25, Total Reward: -2597872.5420532227, Total Length: 443.0 
Episode: 26, Total Reward: -1338932.5075397491, Total Length: 262.0 
Episode: 27, Total Reward: -7351793.867919922, Total Length: 501.0 
Episode: 28, Total Reward: -3495373.565279007, Total Length: 501.0 
Episode: 29, Total Reward: -224703.4337158203, Total Length: 119.0 
Episode: 30, Total Reward: -2406421.154779434, Total Length: 501.0 
Episode: 31, Total Reward: -3831798.771850586, Total Length: 501.0 
Episode: 32, Total Reward: -2761240.9622192383, Total Length: 501.0 
Episode: 33, Total Reward: -5124748.734313965, Total Length: 501.0 
Episode: 34, Total Reward: -260382.76334667206, Total Length: 96.0 
Episode: 35, Total Reward: -362952.3052318096, Total Length: 119.0 
Episode: 36, Total Reward: -2215651.009824753, Total Length: 501.0 
Episode: 37, Total Reward: -5364964.670303345, Total Length: 501.0 
Episode: 38, Total Reward: -1647336.1052207947, Total Length: 337.0 
Episode: 39, Total Reward: -1630344.8545246124, Total Length: 501.0 
Episode: 40, Total Reward: -3693548.7962036133, Total Length: 501.0 
Episode: 41, Total Reward: -4298076.355407715, Total Length: 501.0 
Episode: 42, Total Reward: -1905905.5452270508, Total Length: 237.0 
Episode: 43, Total Reward: -2426730.1344299316, Total Length: 501.0 
Episode: 44, Total Reward: -3743285.8367004395, Total Length: 501.0 
Episode: 45, Total Reward: -295850.87701416016, Total Length: 105.0 
Episode: 46, Total Reward: -3087867.9704437256, Total Length: 501.0 
Episode: 47, Total Reward: -224041.33044433594, Total Length: 91.0 
Episode: 48, Total Reward: -2282272.896361351, Total Length: 501.0 
Episode: 49, Total Reward: -3359714.299102783, Total Length: 501.0 
Episode: 50, Total Reward: -3998499.696504593, Total Length: 501.0 
Episode: 51, Total Reward: -1871327.2066845894, Total Length: 501.0 
Episode: 52, Total Reward: -1079118.5782165527, Total Length: 229.0 
Episode: 53, Total Reward: -2294030.715361595, Total Length: 501.0 
Episode: 54, Total Reward: -6952954.423171997, Total Length: 501.0 
Episode: 55, Total Reward: -2052171.8056755066, Total Length: 483.0 
Episode: 56, Total Reward: -118351.0639038086, Total Length: 62.0 
Episode: 57, Total Reward: -899232.7936592102, Total Length: 274.0 
Episode: 58, Total Reward: -351218.9735107422, Total Length: 118.0 
Episode: 59, Total Reward: -1564027.1440620422, Total Length: 501.0 
Episode: 60, Total Reward: -288962.2511291504, Total Length: 121.0 
Episode: 61, Total Reward: -2776667.545408249, Total Length: 501.0 
Episode: 62, Total Reward: -4759794.209468365, Total Length: 501.0 
Episode: 63, Total Reward: -4847827.091873169, Total Length: 413.0 
Episode: 64, Total Reward: -2599945.9915533066, Total Length: 501.0 
Episode: 65, Total Reward: -3917069.3659057617, Total Length: 501.0 
Episode: 66, Total Reward: -7296983.21572876, Total Length: 501.0 
Episode: 67, Total Reward: -293007.37533569336, Total Length: 104.0 
Episode: 68, Total Reward: -2413476.710269928, Total Length: 510.0 
Episode: 69, Total Reward: -158973.62573242188, Total Length: 87.0 
Episode: 70, Total Reward: -3195783.158376217, Total Length: 501.0 
Episode: 71, Total Reward: -3595967.2140750885, Total Length: 485.0 
Episode: 72, Total Reward: -1993084.288105011, Total Length: 501.0 
Episode: 73, Total Reward: -271929.02459716797, Total Length: 107.0 
Episode: 74, Total Reward: -8027641.565475464, Total Length: 501.0 
Episode: 75, Total Reward: -2665056.8326044083, Total Length: 501.0 
Episode: 76, Total Reward: -4744827.188110352, Total Length: 501.0 
Episode: 77, Total Reward: -7334113.0218811035, Total Length: 501.0 
Episode: 78, Total Reward: -3528293.385002136, Total Length: 501.0 
Episode: 79, Total Reward: -177104.35614013672, Total Length: 85.0 
Episode: 80, Total Reward: -2431176.3977456093, Total Length: 501.0 
Episode: 81, Total Reward: -286501.8379211426, Total Length: 110.0 
Episode: 82, Total Reward: -2794828.5691509247, Total Length: 501.0 
Episode: 83, Total Reward: -5508568.639709473, Total Length: 410.0 
Episode: 84, Total Reward: -8113303.683837891, Total Length: 515.0 
Episode: 85, Total Reward: -1653581.5675563812, Total Length: 501.0 
Episode: 86, Total Reward: -4154214.348968506, Total Length: 409.0 
Episode: 87, Total Reward: -2525855.3302841187, Total Length: 501.0 
Episode: 88, Total Reward: -7379994.010498047, Total Length: 501.0 
Episode: 89, Total Reward: -2140216.4084091187, Total Length: 501.0 
Episode: 90, Total Reward: -4560709.5779418945, Total Length: 501.0 
Episode: 91, Total Reward: -4789600.356872559, Total Length: 501.0 
Episode: 92, Total Reward: -4083710.271867752, Total Length: 501.0 
Episode: 93, Total Reward: -2722070.8159627914, Total Length: 501.0 
Episode: 94, Total Reward: -209695.9722290039, Total Length: 98.0 
Episode: 95, Total Reward: -2051089.6190948486, Total Length: 501.0 
Episode: 96, Total Reward: -202796.73947143555, Total Length: 90.0 
Episode: 97, Total Reward: -1913134.3500757217, Total Length: 501.0 
Episode: 98, Total Reward: -3672866.342857361, Total Length: 501.0 
Episode: 99, Total Reward: -5013154.349029541, Total Length: 501.0 
