Episode: 0, Total Reward: -711626.0, Total Length: 310.0 
Episode: 1, Total Reward: -691618.0, Total Length: 301.0 
Episode: 2, Total Reward: -690120.0, Total Length: 301.0 
Episode: 3, Total Reward: -692112.0, Total Length: 300.0 
Episode: 4, Total Reward: -702101.0, Total Length: 302.0 
Episode: 5, Total Reward: -689622.0, Total Length: 301.0 
Episode: 6, Total Reward: -691607.0, Total Length: 299.0 
Episode: 7, Total Reward: -701119.0, Total Length: 305.0 
Episode: 8, Total Reward: -693114.0, Total Length: 301.0 
Episode: 9, Total Reward: -695109.0, Total Length: 300.0 
Episode: 10, Total Reward: -690122.0, Total Length: 301.0 
Episode: 11, Total Reward: -692615.0, Total Length: 301.0 
Episode: 12, Total Reward: -693114.0, Total Length: 301.0 
Episode: 13, Total Reward: -689122.0, Total Length: 301.0 
Episode: 14, Total Reward: -689122.0, Total Length: 301.0 
Episode: 15, Total Reward: -634731.0, Total Length: 301.0 
Episode: 16, Total Reward: -692616.0, Total Length: 301.0 
Episode: 17, Total Reward: -700106.0, Total Length: 302.0 
Episode: 18, Total Reward: -689122.0, Total Length: 301.0 
Episode: 19, Total Reward: -696608.0, Total Length: 301.0 
Episode: 20, Total Reward: -690120.0, Total Length: 301.0 
Episode: 21, Total Reward: -696608.0, Total Length: 301.0 
Episode: 22, Total Reward: -695110.0, Total Length: 301.0 
Episode: 23, Total Reward: -699103.0, Total Length: 301.0 
Episode: 24, Total Reward: -689122.0, Total Length: 301.0 
Episode: 25, Total Reward: -691119.0, Total Length: 301.0 
Episode: 26, Total Reward: -690619.0, Total Length: 301.0 
Episode: 27, Total Reward: -689122.0, Total Length: 301.0 
Episode: 28, Total Reward: -698603.0, Total Length: 301.0 
Episode: 29, Total Reward: -689122.0, Total Length: 301.0 
Episode: 30, Total Reward: -694611.0, Total Length: 301.0 
Episode: 31, Total Reward: -694112.0, Total Length: 301.0 
Episode: 32, Total Reward: -694113.0, Total Length: 301.0 
Episode: 33, Total Reward: -693114.0, Total Length: 301.0 
Episode: 34, Total Reward: -696608.0, Total Length: 301.0 
Episode: 35, Total Reward: -689122.0, Total Length: 301.0 
Episode: 36, Total Reward: -693613.0, Total Length: 301.0 
Episode: 37, Total Reward: -689122.0, Total Length: 301.0 
Episode: 38, Total Reward: -688622.0, Total Length: 300.0 
Episode: 39, Total Reward: -693115.0, Total Length: 301.0 
Episode: 40, Total Reward: -690619.0, Total Length: 301.0 
Episode: 41, Total Reward: -690619.0, Total Length: 301.0 
Episode: 42, Total Reward: -698603.0, Total Length: 301.0 
Episode: 43, Total Reward: -689122.0, Total Length: 301.0 
Episode: 44, Total Reward: -689122.0, Total Length: 301.0 
Episode: 45, Total Reward: -689611.0, Total Length: 299.0 
Episode: 46, Total Reward: -700111.0, Total Length: 303.0 
Episode: 47, Total Reward: -695609.0, Total Length: 301.0 
Episode: 48, Total Reward: -689121.0, Total Length: 300.0 
Episode: 49, Total Reward: -690622.0, Total Length: 301.0 
Episode: 50, Total Reward: -704092.0, Total Length: 301.0 
Episode: 51, Total Reward: -692108.0, Total Length: 299.0 
Episode: 52, Total Reward: -703103.0, Total Length: 302.0 
Episode: 53, Total Reward: -689122.0, Total Length: 301.0 
