Episode: 0, Total Reward: -4231832.61497879, Total Length: 517.0 
Episode: 1, Total Reward: -62910.38708496094, Total Length: 11.0 
Episode: 2, Total Reward: -59627.98419189453, Total Length: 9.0 
Episode: 3, Total Reward: -57511.48977279663, Total Length: 25.0 
Episode: 4, Total Reward: -49140.78240966797, Total Length: 23.0 
Episode: 5, Total Reward: -51198.35595703125, Total Length: 11.0 
Episode: 6, Total Reward: -47599.260887145996, Total Length: 13.0 
Episode: 7, Total Reward: -48703.30198287964, Total Length: 24.0 
Episode: 8, Total Reward: -222347.75035476685, Total Length: 48.0 
Episode: 9, Total Reward: -4464259.078632355, Total Length: 501.0 
Episode: 10, Total Reward: -68659.54077148438, Total Length: 16.0 
Episode: 11, Total Reward: -61555.80794143677, Total Length: 19.0 
Episode: 12, Total Reward: -3991876.9111766815, Total Length: 501.0 
Episode: 13, Total Reward: -70627.13641357422, Total Length: 19.0 
Episode: 14, Total Reward: -96569.75412082672, Total Length: 50.0 
Episode: 15, Total Reward: -3991056.867450714, Total Length: 501.0 
Episode: 16, Total Reward: -135031.99620819092, Total Length: 67.0 
Episode: 17, Total Reward: -5216126.405296326, Total Length: 500.0 
Episode: 18, Total Reward: -120025.07640075684, Total Length: 67.0 
Episode: 19, Total Reward: -53887.53280258179, Total Length: 29.0 
Episode: 20, Total Reward: -56511.89594268799, Total Length: 28.0 
Episode: 21, Total Reward: -133826.78521347046, Total Length: 40.0 
Episode: 22, Total Reward: -5602715.691477776, Total Length: 501.0 
Episode: 23, Total Reward: -4071118.9289946556, Total Length: 501.0 
Episode: 24, Total Reward: -74028.59507751465, Total Length: 26.0 
Episode: 25, Total Reward: -57246.36047363281, Total Length: 8.0 
Episode: 26, Total Reward: -57180.54747009277, Total Length: 11.0 
Episode: 27, Total Reward: -54076.26686477661, Total Length: 13.0 
Episode: 28, Total Reward: -4963208.951534271, Total Length: 501.0 
Episode: 29, Total Reward: -69544.38995361328, Total Length: 17.0 
Episode: 30, Total Reward: -60103.700744628906, Total Length: 11.0 
Episode: 31, Total Reward: -56008.81764984131, Total Length: 29.0 
Episode: 32, Total Reward: -5439065.1544799805, Total Length: 501.0 
Episode: 33, Total Reward: -4840408.588430405, Total Length: 501.0 
Episode: 34, Total Reward: -64910.93786621094, Total Length: 13.0 
Episode: 35, Total Reward: -62932.71911621094, Total Length: 14.0 
Episode: 36, Total Reward: -58702.27210998535, Total Length: 13.0 
Episode: 37, Total Reward: -53325.24719238281, Total Length: 17.0 
Episode: 38, Total Reward: -4751513.854576111, Total Length: 501.0 
Episode: 39, Total Reward: -83853.47886753082, Total Length: 51.0 
Episode: 40, Total Reward: -54503.2138671875, Total Length: 6.0 
Episode: 41, Total Reward: -4964174.063784599, Total Length: 501.0 
Episode: 42, Total Reward: -73981.34434509277, Total Length: 26.0 
Episode: 43, Total Reward: -54737.343658447266, Total Length: 21.0 
Episode: 44, Total Reward: -2953238.6259994507, Total Length: 342.0 
Episode: 45, Total Reward: -74028.36730957031, Total Length: 28.0 
Episode: 46, Total Reward: -3803776.7544345856, Total Length: 501.0 
Episode: 47, Total Reward: -73211.83450317383, Total Length: 23.0 
Episode: 48, Total Reward: -56805.47882080078, Total Length: 7.0 
Episode: 49, Total Reward: -4376871.515468597, Total Length: 507.0 
Episode: 50, Total Reward: -64702.487548828125, Total Length: 12.0 
Episode: 51, Total Reward: -60592.59423828125, Total Length: 10.0 
Episode: 52, Total Reward: -54882.407636642456, Total Length: 27.0 
Episode: 53, Total Reward: -51271.83253955841, Total Length: 15.0 
Episode: 54, Total Reward: -5808135.058307648, Total Length: 501.0 
Episode: 55, Total Reward: -93686.2168636322, Total Length: 56.0 
Episode: 56, Total Reward: -54312.90124511719, Total Length: 6.0 
Episode: 57, Total Reward: -46811.96054840088, Total Length: 22.0 
Episode: 58, Total Reward: -64468.82202911377, Total Length: 29.0 
Episode: 59, Total Reward: -6881148.679374695, Total Length: 500.0 
Episode: 60, Total Reward: -73988.27075195312, Total Length: 24.0 
Episode: 61, Total Reward: -4241511.4804496765, Total Length: 500.0 
Episode: 62, Total Reward: -72540.42007446289, Total Length: 33.0 
Episode: 63, Total Reward: -56129.21667480469, Total Length: 7.0 
Episode: 64, Total Reward: -56275.42881011963, Total Length: 10.0 
Episode: 65, Total Reward: -4325162.795433044, Total Length: 502.0 
Episode: 66, Total Reward: -85417.13396453857, Total Length: 56.0 
Episode: 67, Total Reward: -4885036.172885895, Total Length: 501.0 
Episode: 68, Total Reward: -65128.78942871094, Total Length: 13.0 
