Episode: 0, Total Reward: -4502073.658245087, Total Length: 517.0 
Episode: 1, Total Reward: -5570139.72277832, Total Length: 360.0 
Episode: 2, Total Reward: -3247216.6235809326, Total Length: 501.0 
Episode: 3, Total Reward: -898295.8453674316, Total Length: 161.0 
Episode: 4, Total Reward: -2955807.245570183, Total Length: 501.0 
Episode: 5, Total Reward: -8257262.559509277, Total Length: 501.0 
Episode: 6, Total Reward: -3937663.4568006992, Total Length: 501.0 
Episode: 7, Total Reward: -100555.29559326172, Total Length: 59.0 
Episode: 8, Total Reward: -5664328.395940781, Total Length: 501.0 
Episode: 9, Total Reward: -5016479.926574707, Total Length: 380.0 
Episode: 10, Total Reward: -3101569.7117290497, Total Length: 362.0 
Episode: 11, Total Reward: -4109119.8947644234, Total Length: 501.0 
Episode: 12, Total Reward: -10877599.639347076, Total Length: 501.0 
Episode: 13, Total Reward: -16694803.95868969, Total Length: 500.0 
Episode: 14, Total Reward: -2072983.6709518433, Total Length: 419.0 
Episode: 15, Total Reward: -4915275.329756737, Total Length: 469.0 
Episode: 16, Total Reward: -2852618.7874832153, Total Length: 501.0 
Episode: 17, Total Reward: -4587136.870466232, Total Length: 471.0 
Episode: 18, Total Reward: -5191728.139248848, Total Length: 501.0 
Episode: 19, Total Reward: -567029.9101409912, Total Length: 136.0 
Episode: 20, Total Reward: -4320216.241317749, Total Length: 500.0 
Episode: 21, Total Reward: -171144.91137504578, Total Length: 80.0 
Episode: 22, Total Reward: -4634797.286457062, Total Length: 501.0 
Episode: 23, Total Reward: -2550167.4193725586, Total Length: 501.0 
Episode: 24, Total Reward: -4523421.73449707, Total Length: 454.0 
Episode: 25, Total Reward: -4467088.516828537, Total Length: 479.0 
Episode: 26, Total Reward: -104405.45556640625, Total Length: 65.0 
Episode: 27, Total Reward: -2414057.0692634583, Total Length: 501.0 
Episode: 28, Total Reward: -131419.44580078125, Total Length: 69.0 
Episode: 29, Total Reward: -3605504.0164909363, Total Length: 501.0 
Episode: 30, Total Reward: -9501791.442398071, Total Length: 469.0 
Episode: 31, Total Reward: -4308888.661468506, Total Length: 501.0 
Episode: 32, Total Reward: -5812720.861022949, Total Length: 435.0 
Episode: 33, Total Reward: -2346875.2720336914, Total Length: 294.0 
Episode: 34, Total Reward: -139036.01476287842, Total Length: 66.0 
Episode: 35, Total Reward: -276445.15270996094, Total Length: 107.0 
Episode: 36, Total Reward: -3620352.182443619, Total Length: 501.0 
Episode: 37, Total Reward: -9657409.905532598, Total Length: 501.0 
Episode: 38, Total Reward: -7003862.82333374, Total Length: 501.0 
Episode: 39, Total Reward: -9792195.421813965, Total Length: 501.0 
Episode: 40, Total Reward: -111974.78750419617, Total Length: 67.0 
Episode: 41, Total Reward: -1560984.8791484833, Total Length: 236.0 
Episode: 42, Total Reward: -3387741.953578949, Total Length: 501.0 
Episode: 43, Total Reward: -4260452.212633133, Total Length: 501.0 
Episode: 44, Total Reward: -183378.8292236328, Total Length: 81.0 
Episode: 45, Total Reward: -1388674.514266014, Total Length: 327.0 
Episode: 46, Total Reward: -318187.21490478516, Total Length: 118.0 
Episode: 47, Total Reward: -2094410.17678833, Total Length: 230.0 
Episode: 48, Total Reward: -6778798.207183838, Total Length: 501.0 
Episode: 49, Total Reward: -5755239.212371826, Total Length: 501.0 
Episode: 50, Total Reward: -3209956.031311035, Total Length: 501.0 
Episode: 51, Total Reward: -11745268.25958252, Total Length: 501.0 
Episode: 52, Total Reward: -8984197.204193115, Total Length: 501.0 
Episode: 53, Total Reward: -3463174.5120887756, Total Length: 501.0 
Episode: 54, Total Reward: -8349312.115859985, Total Length: 501.0 
Episode: 55, Total Reward: -7253410.953035831, Total Length: 501.0 
Episode: 56, Total Reward: -9269223.35458374, Total Length: 501.0 
Episode: 57, Total Reward: -2739223.7231521606, Total Length: 501.0 
Episode: 58, Total Reward: -4485418.480224609, Total Length: 335.0 
Episode: 59, Total Reward: -2654991.6360406876, Total Length: 501.0 
Episode: 60, Total Reward: -1966827.1484556198, Total Length: 301.0 
Episode: 61, Total Reward: -2531708.646923065, Total Length: 501.0 
Episode: 62, Total Reward: -10697923.725454211, Total Length: 500.0 
Episode: 63, Total Reward: -3831231.1209397316, Total Length: 502.0 
Episode: 64, Total Reward: -197479.5396118164, Total Length: 87.0 
Episode: 65, Total Reward: -174995.28797149658, Total Length: 77.0 
Episode: 66, Total Reward: -753325.0844573975, Total Length: 154.0 
Episode: 67, Total Reward: -10328993.345219612, Total Length: 501.0 
Episode: 68, Total Reward: -3070814.637087822, Total Length: 335.0 
Episode: 69, Total Reward: -3980509.4734373093, Total Length: 501.0 
Episode: 70, Total Reward: -7240167.993470192, Total Length: 501.0 
Episode: 71, Total Reward: -173134.30932617188, Total Length: 80.0 
Episode: 72, Total Reward: -3088528.421661377, Total Length: 501.0 
Episode: 73, Total Reward: -6371556.069213867, Total Length: 501.0 
Episode: 74, Total Reward: -1592479.769976139, Total Length: 378.0 
Episode: 75, Total Reward: -102803.74022865295, Total Length: 64.0 
Episode: 76, Total Reward: -7451917.393268585, Total Length: 501.0 
Episode: 77, Total Reward: -1962814.557516098, Total Length: 501.0 
Episode: 78, Total Reward: -8247749.918304443, Total Length: 342.0 
Episode: 79, Total Reward: -3233199.286532402, Total Length: 501.0 
Episode: 80, Total Reward: -138604.8348388672, Total Length: 77.0 
Episode: 81, Total Reward: -3258551.8022708893, Total Length: 501.0 
Episode: 82, Total Reward: -9321830.181897163, Total Length: 501.0 
Episode: 83, Total Reward: -19172746.199106216, Total Length: 501.0 
Episode: 84, Total Reward: -106667.33535194397, Total Length: 59.0 
Episode: 85, Total Reward: -2988759.9324378967, Total Length: 501.0 
Episode: 86, Total Reward: -3942970.2777404785, Total Length: 501.0 
Episode: 87, Total Reward: -4993756.116718292, Total Length: 501.0 
Episode: 88, Total Reward: -3391969.809103012, Total Length: 501.0 
Episode: 89, Total Reward: -2916807.173309326, Total Length: 322.0 
Episode: 90, Total Reward: -3028214.625082016, Total Length: 501.0 
Episode: 91, Total Reward: -13470775.36605835, Total Length: 501.0 
Episode: 92, Total Reward: -3202139.823120117, Total Length: 501.0 
Episode: 93, Total Reward: -9896784.138427734, Total Length: 501.0 
Episode: 94, Total Reward: -761289.0441160202, Total Length: 178.0 
Episode: 95, Total Reward: -5820452.569648743, Total Length: 501.0 
Episode: 96, Total Reward: -11105549.209976196, Total Length: 501.0 
Episode: 97, Total Reward: -4174257.129088402, Total Length: 501.0 
Episode: 98, Total Reward: -1472673.37840271, Total Length: 209.0 
Episode: 99, Total Reward: -123671.45242881775, Total Length: 66.0 
