Episode: 8, Total Reward: -1.9164322055876255, Total Length: 25.0 
Episode: 9, Total Reward: -1.9395849434658885, Total Length: 48.0 
Episode: 10, Total Reward: -1.9158240742981434, Total Length: 27.0 
Episode: 11, Total Reward: -1.921464804559946, Total Length: 41.0 
Episode: 12, Total Reward: -1.930212065577507, Total Length: 32.0 
Episode: 13, Total Reward: -1.9344089962542057, Total Length: 40.0 
Episode: 14, Total Reward: -1.9135298393666744, Total Length: 27.0 
Episode: 15, Total Reward: -1.9276189487427473, Total Length: 34.0 
Episode: 16, Total Reward: -1.9112697914242744, Total Length: 25.0 
Episode: 17, Total Reward: -1.9368128580972552, Total Length: 34.0 
Episode: 18, Total Reward: -1.8972762189805508, Total Length: 25.0 
Episode: 19, Total Reward: -1.9118858706206083, Total Length: 27.0 
Episode: 20, Total Reward: -1.9324031323194504, Total Length: 55.0 
Episode: 21, Total Reward: -1.9263611417263746, Total Length: 29.0 
Episode: 22, Total Reward: -1.894569244235754, Total Length: 24.0 
Episode: 23, Total Reward: -1.9366337899118662, Total Length: 35.0 
Episode: 24, Total Reward: -1.925518387928605, Total Length: 30.0 
Episode: 25, Total Reward: -1.9216213524341583, Total Length: 25.0 
Episode: 26, Total Reward: -1.9275770336389542, Total Length: 30.0 
Episode: 27, Total Reward: -1.9283636957406998, Total Length: 35.0 
Episode: 28, Total Reward: -1.9072744958102703, Total Length: 25.0 
Episode: 29, Total Reward: -1.9109813272953033, Total Length: 24.0 
Episode: 30, Total Reward: -1.8906932026147842, Total Length: 32.0 
Episode: 31, Total Reward: -1.9390502274036407, Total Length: 48.0 
Episode: 32, Total Reward: -1.9227410331368446, Total Length: 27.0 
Episode: 33, Total Reward: -1.9212012514472008, Total Length: 26.0 
Episode: 34, Total Reward: -1.9339862894266844, Total Length: 28.0 
Episode: 35, Total Reward: -1.9387212581932545, Total Length: 42.0 
Episode: 36, Total Reward: -1.9025777615606785, Total Length: 24.0 
Episode: 37, Total Reward: -1.9012348726391792, Total Length: 25.0 
Episode: 38, Total Reward: -1.900767732411623, Total Length: 25.0 
Episode: 39, Total Reward: -1.9325103852897882, Total Length: 33.0 
Episode: 40, Total Reward: -1.9138702638447285, Total Length: 27.0 
Episode: 41, Total Reward: -1.9151827432215214, Total Length: 26.0 
Episode: 42, Total Reward: -1.9086635299026966, Total Length: 29.0 
Episode: 43, Total Reward: -1.9113449975848198, Total Length: 26.0 
Episode: 44, Total Reward: -1.9279079176485538, Total Length: 37.0 
Episode: 45, Total Reward: -1.9286007788032293, Total Length: 30.0 
Episode: 46, Total Reward: -1.9220645017921925, Total Length: 25.0 
Episode: 47, Total Reward: -1.9081917442381382, Total Length: 26.0 
Episode: 48, Total Reward: -1.9442144492641091, Total Length: 49.0 
Episode: 49, Total Reward: -1.9027015268802643, Total Length: 26.0 
Episode: 50, Total Reward: -1.9112327992916107, Total Length: 27.0 
Episode: 51, Total Reward: -1.9122678693383932, Total Length: 27.0 
Episode: 52, Total Reward: -1.9437088565900922, Total Length: 37.0 
Episode: 53, Total Reward: -1.9084914438426495, Total Length: 25.0 
Episode: 54, Total Reward: -1.9182748049497604, Total Length: 28.0 
Episode: 55, Total Reward: -1.932055177167058, Total Length: 30.0 
Episode: 56, Total Reward: -1.9311350379139185, Total Length: 28.0 
Episode: 57, Total Reward: -1.920816008001566, Total Length: 28.0 
Episode: 58, Total Reward: -1.927616186439991, Total Length: 27.0 
Episode: 59, Total Reward: -1.9140183292329311, Total Length: 25.0 
Episode: 60, Total Reward: -1.9360840525478125, Total Length: 31.0 
Episode: 61, Total Reward: -1.922137476503849, Total Length: 26.0 
Episode: 62, Total Reward: -1.9312149938195944, Total Length: 32.0 
Episode: 63, Total Reward: -1.9048109762370586, Total Length: 24.0 
Episode: 64, Total Reward: -1.920806597918272, Total Length: 29.0 
Episode: 65, Total Reward: -1.928481761366129, Total Length: 34.0 
Episode: 66, Total Reward: -1.939999956637621, Total Length: 39.0 
Episode: 67, Total Reward: -1.9299855884164572, Total Length: 35.0 
Episode: 68, Total Reward: -1.917190257459879, Total Length: 25.0 
Episode: 69, Total Reward: -1.9274095930159092, Total Length: 28.0 
Episode: 70, Total Reward: -1.9289683867245913, Total Length: 31.0 
Episode: 71, Total Reward: -1.9160773567855358, Total Length: 30.0 
Episode: 72, Total Reward: -1.9221400897949934, Total Length: 30.0 
Episode: 73, Total Reward: -1.9081240631639957, Total Length: 26.0 
Episode: 74, Total Reward: -1.944506973028183, Total Length: 44.0 
Episode: 75, Total Reward: -1.9152040742337704, Total Length: 26.0 
Episode: 76, Total Reward: -1.9297285936772823, Total Length: 33.0 
Episode: 77, Total Reward: -1.9232066217809916, Total Length: 30.0 
Episode: 78, Total Reward: -1.9244024585932493, Total Length: 32.0 
Episode: 79, Total Reward: -1.9327600412070751, Total Length: 33.0 
Episode: 80, Total Reward: -1.9319413844496012, Total Length: 32.0 
Episode: 81, Total Reward: -1.9304109886288643, Total Length: 28.0 
Episode: 82, Total Reward: -1.8921276405453682, Total Length: 24.0 
Episode: 83, Total Reward: -1.9107672572135925, Total Length: 26.0 
Episode: 84, Total Reward: -1.9121487252414227, Total Length: 25.0 
Episode: 85, Total Reward: -1.9342198856174946, Total Length: 48.0 
Episode: 86, Total Reward: -1.8990519419312477, Total Length: 25.0 
Episode: 87, Total Reward: -1.9343111589550972, Total Length: 35.0 
Episode: 88, Total Reward: -1.9027319252490997, Total Length: 24.0 
Episode: 89, Total Reward: -1.9444726826623082, Total Length: 43.0 
Episode: 90, Total Reward: -1.927133435383439, Total Length: 27.0 
Episode: 91, Total Reward: -1.939447309821844, Total Length: 39.0 
Episode: 92, Total Reward: -1.9220637902617455, Total Length: 25.0 
Episode: 93, Total Reward: -1.9475365737453103, Total Length: 56.0 
Episode: 94, Total Reward: -1.9210026245564222, Total Length: 28.0 
Episode: 95, Total Reward: -1.9337076637893915, Total Length: 29.0 
Episode: 96, Total Reward: -1.9088765531778336, Total Length: 26.0 
Episode: 97, Total Reward: -1.9446908934041858, Total Length: 44.0 
Episode: 98, Total Reward: -1.9053540229797363, Total Length: 27.0 
Episode: 99, Total Reward: -1.9412253508344293, Total Length: 40.0 
Final Episode Success Rate: 0.010
